Date,Open,High,Low,Close,Adj Close,Volume,Tomorrow
3/13/2017,48.964001,49.369999,48.556,49.234001,49.234001,15113000,51.599998
3/14/2017,49.222,51.624001,49.203999,51.599998,51.599998,37992000,51.146
3/15/2017,51.400002,52.200001,50.854,51.146,51.146,26654000,52.41
3/16/2017,52.48,53.150002,51.812,52.41,52.41,35661000,52.299999
3/17/2017,52.799999,53.066002,52.240002,52.299999,52.299999,32487500,52.383999
3/20/2017,52.119999,52.91,51.764,52.383999,52.383999,18071500,50.136002
3/21/2017,52.566002,52.959999,50.048,50.136002,50.136002,34543000,51.001999
3/22/2017,50.312,51.014,50.102001,51.001999,51.001999,20296500,50.956001
3/23/2017,51.077999,51.534,50.66,50.956001,50.956001,16601000,52.632
3/24/2017,51.139999,52.778,51.001999,52.632,52.632,28236500,54.043999
3/27/2017,52.119999,54.113998,51.950001,54.043999,54.043999,31154000,55.490002
3/28/2017,55.403999,56.136002,55,55.490002,55.490002,39938000,55.476002
3/29/2017,55.667999,55.919998,55.108002,55.476002,55.476002,18381000,55.584
3/30/2017,55.608002,56.400002,55.442001,55.584,55.584,20742000,55.66
3/31/2017,55.745998,55.936001,55.264,55.66,55.66,16473000,59.703999
4/3/2017,57.380001,59.799999,56.916,59.703999,59.703999,69443000,60.740002
4/4/2017,59.377998,60.962002,58.905998,60.740002,60.740002,50673000,59
4/5/2017,60.408001,60.976002,58.84,59,59,39404500,59.740002
4/6/2017,59.375999,60.388,58.82,59.740002,59.740002,27603000,60.507999
4/7/2017,59.5,60.537998,59.43,60.507999,60.507999,22898000,62.478001
4/10/2017,61.830002,62.745998,61.742001,62.478001,62.478001,38322500,61.742001
4/11/2017,62.675999,62.694,61.099998,61.742001,61.742001,28623000,59.368
4/12/2017,61.268002,61.689999,59.264,59.368,59.368,30253500,60.799999
4/13/2017,59.34,61.478001,59.060001,60.799999,60.799999,46423000,60.287998
4/17/2017,60.540001,60.799999,59.736,60.287998,60.287998,20693500,60.049999
4/18/2017,59.939999,60.167999,59.580002,60.049999,60.049999,15178500,61.104
4/19/2017,60.492001,61.324001,60.422001,61.104,61.104,19490000,60.501999
4/20/2017,61.301998,61.830002,60.046001,60.501999,60.501999,30747000,61.119999
4/21/2017,60.400002,61.279999,60.084,61.119999,61.119999,22549000,61.605999
4/24/2017,61.844002,62.110001,61.203999,61.605999,61.605999,25417500,62.757999
4/25/2017,61.599998,62.796001,61.172001,62.757999,62.757999,33688500,62.034
4/26/2017,62.473999,62.900002,61.799999,62.034,62.034,23475000,61.726002
4/27/2017,62.338001,62.618,61.5,61.726002,61.726002,17343000,62.813999
4/28/2017,61.966,62.959999,61.599998,62.813999,62.813999,22527500,64.566002
